time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
44498,-0.023424,0.950136,0.276696,-16.450001,0.490000,0.000000
44626,-0.024400,0.945256,0.306464,-16.799999,2.940000,-0.140000
44743,-0.031232,0.925736,0.344528,-9.450000,-0.840000,0.490000
44861,-0.029280,0.928664,0.354776,-5.950000,-0.700000,0.630000
44980,-0.028792,0.920368,0.361120,0.000000,-0.770000,0.700000
45090,-0.029768,0.922808,0.371856,-11.830000,-0.700000,0.420000
45216,-0.029768,0.910608,0.407968,-12.530000,-1.260000,0.560000
45365,-0.030256,0.896944,0.426512,-4.200000,-1.680000,0.770000
45493,-0.031232,0.874496,0.475800,-26.459999,-1.260000,0.490000
45608,-0.029768,0.848632,0.538752,-22.049999,-1.120000,0.560000
45720,-0.031720,0.840824,0.540216,-11.830000,-1.050000,0.560000
45856,-0.031232,0.821792,0.569008,-9.240000,-0.840000,0.630000
45989,-0.033184,0.810080,0.601216,-16.870001,-0.840000,0.280000
46106,-0.032696,0.786656,0.628056,-17.219999,-0.770000,0.210000
46220,-0.034160,0.780312,0.630984,-17.570000,-0.700000,0.280000
46366,-0.033672,0.727608,0.709552,-26.670000,-0.630000,-0.070000
46487,-0.036112,0.696864,0.735416,-31.990000,-0.700000,-0.350000
46603,-0.037576,0.653920,0.778360,-35.349998,-0.210000,-0.560000
46731,-0.040504,0.569496,0.853024,-44.869999,-0.140000,-0.700000
46848,-0.047824,0.498248,0.902800,-30.660000,-0.770000,-0.280000
46988,-0.044408,0.432856,0.935496,-28.700001,-0.980000,-0.070000
47110,-0.045872,0.396744,0.949160,-16.309999,-0.910000,0.210000
47246,-0.041968,0.363072,0.970632,-14.700000,-0.770000,0.280000
47378,-0.043920,0.336720,0.970144,-26.389999,-0.840000,-0.070000
47491,-0.045384,0.288896,0.993080,-13.300000,-0.630000,0.280000
47621,-0.045872,0.253760,1.003328,-14.070000,-0.700000,0.280000
47749,-0.044896,0.232288,1.008696,-5.600000,-0.700000,0.490000
47873,-0.045384,0.216672,1.016992,-7.700000,-0.700000,0.560000
48005,-0.045384,0.201544,1.018456,-10.570000,-0.700000,0.420000
48139,-0.047336,0.170312,1.025288,-10.780000,-0.840000,0.350000
48292,-0.047824,0.123952,1.037976,-9.940000,-0.700000,0.420000
48406,-0.046360,0.111264,1.035048,-7.630000,-0.770000,0.420000
48537,-0.046360,0.095648,1.027728,-8.750000,-0.770000,0.490000
48665,-0.050752,0.048800,1.036512,-21.000000,-0.350000,0.140000
48795,-0.045384,0.011224,1.039440,-1.190000,-0.840000,0.630000
48922,-0.047336,0.006832,1.039928,-0.210000,-0.770000,0.770000
